Comment_raw,Sentiment
 Uôi! MV chất thế '' nhưng ló là chất thải,Neg
"- viruss: ""chia tay tập trung cho sự nghiệp""
- pháo: ""sự nghiệp chướng"" =))",Neg
"""Còn tên anh gây hại cho tổ quốc và nước nhà"" ban đầu còn không tin lắm là bả lên mv khịa ai đó thật, mà nghe đoạn này cái tin sái cổ luôn",Pos
"""eeegh"" is like a death sound",Neg
"""Em Nào Nhân Viên
Em Nào Đối Tác..
Con Lợn Này Chối Ác.."" 
Nghe nó đã gì đâu..",Pos
"""em nào nhân viên,
em nào đối tác.
CON LỢN NÀY CHỐI ÁC.""
ôi ditme cháy ác",Pos
"""gen alpha is doomed!"" literally us in 2016:",Neg
"""it's still floating blood from my ears""",Neg
"""Mai ra đi tên em đẹp cho đời. Còn tên anh thì gây hại cho Tổ quốc và cả nước nhà"". Đỉnh thật sự",Pos
"""mom the creepy guy infront of the matress again""",Neg
"""t ra đi trong im lặng , thì m khôn hồn sống cho đàng hoàng tử tế"" má ouuu nó thấm thì thoi nhé",Pos
"""Tại sao tại sao tại sao, tại sao anh lại nói dối"" trả lời: tao thik đc chưa",Neg
"""Tao ra đi trong yên lặng thì mày khôn hồn sống cho đàng hoàng, tử tế. Đừng có để tao gặp cái mặt mày thêm lần nào nữa""  thấm liền",Pos
"""tên anh gây hại cho Tổ Quốc và Nước Nhà"" thấm đẫm cái tên  chị Pháo mãi đỉnh",Pos
#0:52 is the worst part,Neg
#NCL,Pos
"*Video top những ""Thảm họa"" nhạc Việt đã đưa tui đến đây ạ*",Neg
"...and I thought that Disco Duck (Rick Dees) was bad. Combined with sleep deprivation, this song could be used to get information out of POWs.",Neg
:'( bị mất giấc ngủ trưa,Neg
:)) tệ:),Neg
":)))) riêng t nghe nhạc vì cái beat nhạc bắt tai chứ lời nhạc t chẳng nghe rõ gì gì, nghe chữ được chữ không",Neg
:v thấy gớm má ơi.,Neg
"“chàng trai” sánh bước bên em, đằng nào sẽ thuộc về anh Ơ thế là nó chơi gay à Sẽ gầy à",Neg
“sến súa”=))),Neg
"“Tao ra đi trong im lặng, thì mày khôn hồn sống cho tử tế”",Neg
“tên anh gây hại cho Tổ Quốc và Nước Nhà” thấm đẫm cái tên  Pháo mãi đỉnh,Pos
#ERROR!,Neg
… what kind of song is this that are all bad except ymca but who is watching this in 2024 cause I am,Neu
0% alcohol 0% talent 0% other things 100% naahuiyuhay oigh,Neg
0:06 when we poop,Neg
0:21 when you poop after 10 years,Neg
0:30 When your toe hits by a table:,Neg
0:33 MOSQUITOES AT MID NIGHT,Neg
0:41 I didn't knew mosquitoes from my room also sang,Neg
"0:46 I played this part at max volume, let's just say.... Some people ik weren't a fan of my presence for a while",Neu
1 đống sạn,Neg
1 min and 30 seconds I’ll never get back from my life,Neg
"1,68 views in 11 years? what a downfall",Neu
1:11 khúc này nghe hơi gay :)),Neg
1:15 sao nó cấn cấn,Neg
1:52 nghe nhạy cảm quá,Neg
"100tr view rồi,đừng nói ca sĩ 1 bài nha haha",Neg
11 years later and I still hate this song,Neg
135 triệu tk gay à? :)),Neg
"193k dislike, hay thật",Neg
2 giờ gọi????,Neg
2 giờ sáng chắc là cj ấy còn nhủ,Neu
2 giờ sáng chia tay,Neg
2 giờ sáng điện cô hồn à,Neg
2 giờ sáng ngt ngủ r gọi Lmj ???,Neg
2 giờ sáng ngta đi ngủ rồi ai mà bật máy,Neg
2 giờ sáng người ta ngủ ai thức mà gọi,Neg
2 giờ thì người ta đang ngủ mà?,Neg
2 ông tung hoa nhìn kiểu chán đời,Neu
2:14 nhạc bị lỗi đúng không mn,Neu
2:19 thats wolf not fox wrong,Neg
2:25 oh no whats happend,Neu
2:27 chồng của bạn bị gay :v,Neg
"2017 vào nghe , đm ói cả cơm :)))))",Neg
"2019 
Ôi tao cười ỉa chúng mày ạ 
Like hộ t cái",Neg
"2019 ???
Thách đứa nào dám nói dối t 
T bắt bài này cho nó nghe sml",Neg
2025 ko còn ai ở đây nữa,Neg
2025 vẫn mê,Pos
2050r còn ai nghe hk,Pos
"293.009M -> 300M, trời ơi tập trung dô bài này dùm tui đi. Chậm lắm rồi đó. Chia sẽ cho mn cùng nghe đi",Pos
2h gọi điện ai nghe v,Neu
2h sáng gọi ngta lmj ông,Neg
2h sáng vẫn gọi hả,Neg
3:09 TỘI CON MỰC,Neg
3:56 they look depressed-,Neg
"4,1 Tr lượt xem 11 tháng trước #ChiPu #Sashimi",Neg
4:09 THAT IS JUST WRONG,Neg
4:12 I hate you,Neg
"5:50 this is literally one hit wonder, the next one too.",Neu
6:53 YOU TAKE THAT BACK 🫵,Neg
99% of this list sucks ass with only How You Remind Me and Rollin being good... Guess my tastes are socially acceptable after all,Neg
A bland mix of autotune and drab beats.,Neu
"A complete mess, ugh.",Neg
A complete snoozefest.,Neg
A complete waste of creativity.,Neg
A disaster from start to finish.,Neg
A few are garbage but most rock. really bad take.,Neg
A lot of this r bangers what r u on.,Neu
Ả ma thật mv này mãi chưa bay màu,Neg
A major letdown from start to finish.,Neg
A sloppy effort from a so-called artist.,Neg
A total buzzkill for my playlist.,Neg
Absolute rubbish........,Neg
absolute trash,Neg
Absolutely brainrot,Neg
After I watched this it haunts me in my dreams,Neg
ai coi mv mà tắt tiếng thì like cmt này đi ạ,Neg
ai ghét bài này thì like cmt này đi ạ,Neg
Ai mà nghe? rác!,Neg
Ai mà thích bài này? T thấy nó ko xứng với lời khen!,Neg
Ai nghe lại bài này vì ai đó dơ tay nào,Neg
ai thích chứ t thấy gớm,Neg
"All hype, zero talent.",Neg
all i have to say is bruh,Neg
All my favourite songs are in this list.,Neu
All the songs are number one i love the playlist my favorite i sure enjoyed it,Neg
almost as annoying as michael. almost.,Neg
Also foxes make a disturbing high pitched streaming sound for a mating call,Neg
Ám ảnh bài này,Neg
ám ảnh nặng nề bài này:))))))))),Neg
"Am I the only one tired of Don’t Stop Believin’? I don’t hate it exactly, but it sounds mediocre to me and I’ve heard at some point every year for a while now, so I’m seriously tired of it.",Neg
"Âm nhạc bị lỗi kỹ thuật rõ ràng, cần chỉnh sửa lại phần hậu kỳ.",Neg
Âm nhạc kiểu này lỗi thời lắm.,Neg
"Âm nhạc này đâu gọi là nghệ thuật, chỉ biết bậy ra thôi.",Neg
Âm nhạc này đúng là thất bại nặng nề.,Neg
Am scared of the face,Neg
"Âm thanh có vẻ bị lỗi, nghe nhiều chỗ bị rít không tự nhiên.",Neg
"Âm thanh dở chết luôn, cười ra nước mắt.",Neg
"dở vl, không đáng nghe.",Neg
"vl, nghe đau tai.",Neu
"Âm thanh hỗn độn, như mấy đứa xô lung tung ra luôn.",Neu
"Âm thanh hỗn loạn, nghe như mấy kẻ chơi nhạc bừa bãi.",Neg
"Âm thanh này chẳng được khen, chỉ đáng phàn nàn suốt ngày.",Neg
"Âm thanh này như bị đánh gãy, nghe đến tai đau luôn.",Neg
Âm thanh như đổ ra từ chiếc loa hỏng.,Neg
"Âm thanh quá hỗn độn, như bị đánh bại bởi cơn bão không thương tiếc.",Neg
"Âm thanh quá tệ, so sánh ko nổi.",Neg
ambulance type beat frrr,Neg
Ăn shasimi xong rồi sướng à:)))),Neu
"Anaconda by Nicki Manaj is the worst song, but your song was pretty bad, too XDD It's a compliment.",Neg
And don’t you dare stand up for him because it’s my opinion,Neg
and this was a edited guy attempting to make motorbike sounds,Neu
And we cringed all night to the worst song ever...,Neg
anh đi xa r :))),Neg
Anything by jusin beiber hes a cossall.......,Neg
ao tệ vậy mà cũng có ng khen z?,Neg
Are the worst songs in the room with us now?,Neg
Are we seriously promoting this mess? It's a major letdown!,Neg
Atleast Nathan knows this is horrible and people with ear cancer can hear it just so they can turn it off.,Neg
AVRIL LAVIGNE!? opinions invalid,Neg
