Comment_raw,Sentiment,Comment,Comments
 Uôi! MV chất thế '' nhưng ló là chất thải,Neg,uôi  mv chất thế   nhưng ló chất thải,"['uôi', 'mv', 'chất', 'thế', 'nhưng', 'ló', 'chất', 'thải']"
"- viruss: ""chia tay tập trung cho sự nghiệp""
- pháo: ""sự nghiệp chướng"" =))",Neg, viruss   chia tay tập trung sự nghiệp   pháo   sự nghiệp chướng  =,"['viruss', 'chia', 'tay', 'tập', 'trung', 'sự', 'nghiệp', 'pháo', 'sự', 'nghiệp', 'chướng', '=']"
"""Còn tên anh gây hại cho tổ quốc và nước nhà"" ban đầu còn không tin lắm là bả lên mv khịa ai đó thật, mà nghe đoạn này cái tin sái cổ luôn",Pos, còn tên anh gây hại tổ quốc nước nhà  ban đầu còn không tin lắm bả lên mv khịa ai đó thật  mà nghe đoạn cái tin sái cổ luôn,"['còn', 'tên', 'anh', 'gây', 'hại', 'tổ', 'quốc', 'nước', 'nhà', 'ban', 'đầu', 'còn', 'không', 'tin', 'lắm', 'bả', 'lên', 'mv', 'khịa', 'ai', 'đó', 'thật', 'mà', 'nghe', 'đoạn', 'cái', 'tin', 'sái', 'cổ', 'luôn']"
"""eeegh"" is like a death sound",Neg, eeegh  like death sound,"['eeegh', 'like', 'death', 'sound']"
"""Em Nào Nhân Viên
Em Nào Đối Tác..
Con Lợn Này Chối Ác.."" 
Nghe nó đã gì đâu..",Pos, em nào nhân viên em nào đối tác  con lợn chối ác   nghe nó gì đâu ,"['em', 'nào', 'nhân', 'viên', 'em', 'nào', 'đối', 'tác', 'con', 'lợn', 'chối', 'ác', 'nghe', 'nó', 'gì', 'đâu']"
"""em nào nhân viên,
em nào đối tác.
CON LỢN NÀY CHỐI ÁC.""
ôi ditme cháy ác",Pos, em nào nhân viên  em nào đối tác  con lợn chối ác   ôi ditme cháy ác,"['em', 'nào', 'nhân', 'viên', 'em', 'nào', 'đối', 'tác', 'con', 'lợn', 'chối', 'ác', 'ôi', 'ditme', 'cháy', 'ác']"
"""gen alpha is doomed!"" literally us in 2016:",Neg, gen alpha doomed   literally us 2016 ,"['gen', 'alpha', 'doomed', 'literally', 'us', '2016']"
"""it's still floating blood from my ears""",Neg, still floating blood ears ,"['still', 'floating', 'blood', 'ears']"
"""Mai ra đi tên em đẹp cho đời. Còn tên anh thì gây hại cho Tổ quốc và cả nước nhà"". Đỉnh thật sự",Pos, mai đi tên em đẹp đời  còn tên anh gây hại tổ quốc cả nước nhà   đỉnh thật sự,"['mai', 'đi', 'tên', 'em', 'đẹp', 'đời', 'còn', 'tên', 'anh', 'gây', 'hại', 'tổ', 'quốc', 'cả', 'nước', 'nhà', 'đỉnh', 'thật', 'sự']"
"""mom the creepy guy infront of the matress again""",Neg, mom creepy guy infront of the matress ,"['mom', 'creepy', 'guy', 'infront', 'of', 'the', 'matress']"
"""t ra đi trong im lặng , thì m khôn hồn sống cho đàng hoàng tử tế"" má ouuu nó thấm thì thoi nhé",Pos, đi im lặng  khôn hồn sống đàng hoàng tử tế  má ouuu nó thấm thoi nhé,"['đi', 'im', 'lặng', 'khôn', 'hồn', 'sống', 'đàng', 'hoàng', 'tử', 'tế', 'má', 'ouuu', 'nó', 'thấm', 'thoi', 'nhé']"
"""Tại sao tại sao tại sao, tại sao anh lại nói dối"" trả lời: tao thik đc chưa",Neg, tại sao tại sao tại sao  tại sao anh lại nói dối  trả lời  tao thik đc chưa,"['tại', 'sao', 'tại', 'sao', 'tại', 'sao', 'tại', 'sao', 'anh', 'lại', 'nói', 'dối', 'trả', 'lời', 'tao', 'thik', 'đc', 'chưa']"
"""Tao ra đi trong yên lặng thì mày khôn hồn sống cho đàng hoàng, tử tế. Đừng có để tao gặp cái mặt mày thêm lần nào nữa""  thấm liền",Pos, tao đi yên lặng mày khôn hồn sống đàng hoàng  tử tế  đừng để tao gặp cái mặt mày thêm lần nào nữa  thấm liền,"['tao', 'đi', 'yên', 'lặng', 'mày', 'khôn', 'hồn', 'sống', 'đàng', 'hoàng', 'tử', 'tế', 'đừng', 'để', 'tao', 'gặp', 'cái', 'mặt', 'mày', 'thêm', 'lần', 'nào', 'nữa', 'thấm', 'liền']"
"""tên anh gây hại cho Tổ Quốc và Nước Nhà"" thấm đẫm cái tên  chị Pháo mãi đỉnh",Pos, tên anh gây hại tổ quốc nước nhà  thấm đẫm cái tên chị pháo mãi đỉnh,"['tên', 'anh', 'gây', 'hại', 'tổ', 'quốc', 'nước', 'nhà', 'thấm', 'đẫm', 'cái', 'tên', 'chị', 'pháo', 'mãi', 'đỉnh']"
#0:52 is the worst part,Neg,# 0  52 worst part,"['#', '0', '52', 'worst', 'part']"
#NCL,Pos,# ncl,"['#', 'ncl']"
"*Video top những ""Thảm họa"" nhạc Việt đã đưa tui đến đây ạ*",Neg,* video top  thảm họa  nhạc việt đưa tui đến đây ạ *,"['*', 'video', 'top', 'thảm', 'họa', 'nhạc', 'việt', 'đưa', 'tui', 'đến', 'đây', 'ạ', '*']"
"...and I thought that Disco Duck (Rick Dees) was bad. Combined with sleep deprivation, this song could be used to get information out of POWs.",Neg, thought disco duck  rick dees  bad  combined sleep deprivation  song could used get information of pows ,"['thought', 'disco', 'duck', 'rick', 'dees', 'bad', 'combined', 'sleep', 'deprivation', 'song', 'could', 'used', 'get', 'information', 'of', 'pows']"
:'( bị mất giấc ngủ trưa,Neg,   bị mất giấc ngủ trưa,"['bị', 'mất', 'giấc', 'ngủ', 'trưa']"
:)) tệ:),Neg, tệ ,['tệ']
":)))) riêng t nghe nhạc vì cái beat nhạc bắt tai chứ lời nhạc t chẳng nghe rõ gì gì, nghe chữ được chữ không",Neg, riêng nghe nhạc vì cái beat nhạc bắt tai chứ lời nhạc t chẳng nghe rõ gì gì  nghe chữ chữ không,"['riêng', 'nghe', 'nhạc', 'vì', 'cái', 'beat', 'nhạc', 'bắt', 'tai', 'chứ', 'lời', 'nhạc', 't', 'chẳng', 'nghe', 'rõ', 'gì', 'gì', 'nghe', 'chữ', 'chữ', 'không']"
:v thấy gớm má ơi.,Neg, v thấy gớm má ơi ,"['v', 'thấy', 'gớm', 'má', 'ơi']"
"“chàng trai” sánh bước bên em, đằng nào sẽ thuộc về anh Ơ thế là nó chơi gay à Sẽ gầy à",Neg,“ chàng trai ” sánh bước bên em  đằng nào sẽ thuộc về anh ơ thế là nó chơi gay à sẽ gầy à,"['“', 'chàng', 'trai', '”', 'sánh', 'bước', 'bên', 'em', 'đằng', 'nào', 'sẽ', 'thuộc', 'về', 'anh', 'ơ', 'thế', 'là', 'nó', 'chơi', 'gay', 'à', 'sẽ', 'gầy', 'à']"
“sến súa”=))),Neg,“ sến súa ” =,"['“', 'sến', 'súa', '”', '=']"
"“Tao ra đi trong im lặng, thì mày khôn hồn sống cho tử tế”",Neg,“ tao đi im lặng  mày khôn hồn sống tử tế ”,"['“', 'tao', 'đi', 'im', 'lặng', 'mày', 'khôn', 'hồn', 'sống', 'tử', 'tế', '”']"
“tên anh gây hại cho Tổ Quốc và Nước Nhà” thấm đẫm cái tên  Pháo mãi đỉnh,Pos,“ tên anh gây hại tổ quốc nước nhà ” thấm đẫm cái tên pháo mãi đỉnh,"['“', 'tên', 'anh', 'gây', 'hại', 'tổ', 'quốc', 'nước', 'nhà', '”', 'thấm', 'đẫm', 'cái', 'tên', 'pháo', 'mãi', 'đỉnh']"
#ERROR!,Neg,# error ,"['#', 'error']"
… what kind of song is this that are all bad except ymca but who is watching this in 2024 cause I am,Neu,… kind of song bad except ymca watching 2024 cause,"['…', 'kind', 'of', 'song', 'bad', 'except', 'ymca', 'watching', '2024', 'cause']"
0% alcohol 0% talent 0% other things 100% naahuiyuhay oigh,Neg,0 % alcohol 0 % talent 0 % things 100 % naahuiyuhay oigh,"['0', '%', 'alcohol', '0', '%', 'talent', '0', '%', 'things', '100', '%', 'naahuiyuhay', 'oigh']"
0:06 when we poop,Neg,0  06 poop,"['0', '06', 'poop']"
0:21 when you poop after 10 years,Neg,0  21 poop 10 years,"['0', '21', 'poop', '10', 'years']"
0:30 When your toe hits by a table:,Neg,0  30 toe hits a table ,"['0', '30', 'toe', 'hits', 'a', 'table']"
0:33 MOSQUITOES AT MID NIGHT,Neg,0  33 mosquitoes mid night,"['0', '33', 'mosquitoes', 'mid', 'night']"
0:41 I didn't knew mosquitoes from my room also sang,Neg,0  41 knew mosquitoes room also sang,"['0', '41', 'knew', 'mosquitoes', 'room', 'also', 'sang']"
"0:46 I played this part at max volume, let's just say.... Some people ik weren't a fan of my presence for a while",Neu,0  46 played part max volume  lets say  people ik a fan of my presence,"['0', '46', 'played', 'part', 'max', 'volume', 'lets', 'say', 'people', 'ik', 'a', 'fan', 'of', 'my', 'presence']"
1 đống sạn,Neg,1 đống sạn,"['1', 'đống', 'sạn']"
1 min and 30 seconds I’ll never get back from my life,Neg,1 min and 30 seconds i’ll never get back life,"['1', 'min', 'and', '30', 'seconds', 'i’ll', 'never', 'get', 'back', 'life']"
"1,68 views in 11 years? what a downfall",Neu,168 views 11 years  what downfall,"['168', 'views', '11', 'years', 'what', 'downfall']"
1:11 khúc này nghe hơi gay :)),Neg,1  11 khúc nghe hơi gay ,"['1', '11', 'khúc', 'nghe', 'hơi', 'gay']"
1:15 sao nó cấn cấn,Neg,1  15 sao nó cấn cấn,"['1', '15', 'sao', 'nó', 'cấn', 'cấn']"
1:52 nghe nhạy cảm quá,Neg,1  52 nghe nhạy cảm quá,"['1', '52', 'nghe', 'nhạy', 'cảm', 'quá']"
"100tr view rồi,đừng nói ca sĩ 1 bài nha haha",Neg,100 tr view rồi  đừng nói ca sĩ 1 bài nha haha,"['100', 'tr', 'view', 'rồi', 'đừng', 'nói', 'ca', 'sĩ', '1', 'bài', 'nha', 'haha']"
11 years later and I still hate this song,Neg,11 years later still hate song,"['11', 'years', 'later', 'still', 'hate', 'song']"
135 triệu tk gay à? :)),Neg,135 triệu tk gay à  ,"['135', 'triệu', 'tk', 'gay', 'à']"
"193k dislike, hay thật",Neg,193 k dislike  hay thật,"['193', 'k', 'dislike', 'hay', 'thật']"
2 giờ gọi????,Neg,2 giờ gọi    ,"['2', 'giờ', 'gọi']"
2 giờ sáng chắc là cj ấy còn nhủ,Neu,2 giờ sáng chắc cj ấy còn nhủ,"['2', 'giờ', 'sáng', 'chắc', 'cj', 'ấy', 'còn', 'nhủ']"
2 giờ sáng chia tay,Neg,2 giờ sáng chia tay,"['2', 'giờ', 'sáng', 'chia', 'tay']"
2 giờ sáng điện cô hồn à,Neg,2 giờ sáng điện cô hồn à,"['2', 'giờ', 'sáng', 'điện', 'cô', 'hồn', 'à']"
2 giờ sáng ngt ngủ r gọi Lmj ???,Neg,2 giờ sáng ngt ngủ r gọi lmj   ,"['2', 'giờ', 'sáng', 'ngt', 'ngủ', 'r', 'gọi', 'lmj']"
2 giờ sáng ngta đi ngủ rồi ai mà bật máy,Neg,2 giờ sáng ngta đi ngủ rồi ai mà bật máy,"['2', 'giờ', 'sáng', 'ngta', 'đi', 'ngủ', 'rồi', 'ai', 'mà', 'bật', 'máy']"
2 giờ sáng người ta ngủ ai thức mà gọi,Neg,2 giờ sáng người ta ngủ ai thức mà gọi,"['2', 'giờ', 'sáng', 'người', 'ta', 'ngủ', 'ai', 'thức', 'mà', 'gọi']"
2 giờ thì người ta đang ngủ mà?,Neg,2 giờ người ta đang ngủ mà ,"['2', 'giờ', 'người', 'ta', 'đang', 'ngủ', 'mà']"
2 ông tung hoa nhìn kiểu chán đời,Neu,2 ông tung hoa nhìn kiểu chán đời,"['2', 'ông', 'tung', 'hoa', 'nhìn', 'kiểu', 'chán', 'đời']"
2:14 nhạc bị lỗi đúng không mn,Neu,2  14 nhạc bị lỗi đúng không mn,"['2', '14', 'nhạc', 'bị', 'lỗi', 'đúng', 'không', 'mn']"
2:19 thats wolf not fox wrong,Neg,2  19 thats wolf fox wrong,"['2', '19', 'thats', 'wolf', 'fox', 'wrong']"
2:25 oh no whats happend,Neu,2  25 oh whats happend,"['2', '25', 'oh', 'whats', 'happend']"
2:27 chồng của bạn bị gay :v,Neg,2  27 chồng của bạn bị gay  v,"['2', '27', 'chồng', 'của', 'bạn', 'bị', 'gay', 'v']"
"2017 vào nghe , đm ói cả cơm :)))))",Neg,2017 nghe  đm ói cả cơm ,"['2017', 'nghe', 'đm', 'ói', 'cả', 'cơm']"
"2019 
Ôi tao cười ỉa chúng mày ạ 
Like hộ t cái",Neg,2019 ôi tao cười ỉa chúng mày ạ like hộ cái,"['2019', 'ôi', 'tao', 'cười', 'ỉa', 'chúng', 'mày', 'ạ', 'like', 'hộ', 'cái']"
"2019 ???
Thách đứa nào dám nói dối t 
T bắt bài này cho nó nghe sml",Neg,2019    thách đứa nào dám nói dối bắt bài nó nghe sml,"['2019', 'thách', 'đứa', 'nào', 'dám', 'nói', 'dối', 'bắt', 'bài', 'nó', 'nghe', 'sml']"
2025 ko còn ai ở đây nữa,Neg,2025 ko còn ai đây nữa,"['2025', 'ko', 'còn', 'ai', 'đây', 'nữa']"
2025 vẫn mê,Pos,2025 vẫn mê,"['2025', 'vẫn', 'mê']"
2050r còn ai nghe hk,Pos,2050 r còn ai nghe hk,"['2050', 'r', 'còn', 'ai', 'nghe', 'hk']"
"293.009M -> 300M, trời ơi tập trung dô bài này dùm tui đi. Chậm lắm rồi đó. Chia sẽ cho mn cùng nghe đi",Pos,293009 > 300  trời ơi tập trung dô bài dùm tui đi  chậm lắm rồi đó  chia sẽ mn cùng nghe đi,"['293009', '>', '300', 'trời', 'ơi', 'tập', 'trung', 'dô', 'bài', 'dùm', 'tui', 'đi', 'chậm', 'lắm', 'rồi', 'đó', 'chia', 'sẽ', 'mn', 'cùng', 'nghe', 'đi']"
2h gọi điện ai nghe v,Neu,2 h gọi điện ai nghe v,"['2', 'h', 'gọi', 'điện', 'ai', 'nghe', 'v']"
2h sáng gọi ngta lmj ông,Neg,2 h sáng gọi ngta lmj ông,"['2', 'h', 'sáng', 'gọi', 'ngta', 'lmj', 'ông']"
2h sáng vẫn gọi hả,Neg,2 h sáng vẫn gọi hả,"['2', 'h', 'sáng', 'vẫn', 'gọi', 'hả']"
3:09 TỘI CON MỰC,Neg,3  09 tội con mực,"['3', '09', 'tội', 'con', 'mực']"
3:56 they look depressed-,Neg,3  56 look depressed ,"['3', '56', 'look', 'depressed']"
"4,1 Tr lượt xem 11 tháng trước #ChiPu #Sashimi",Neg,41 tr lượt xem 11 tháng trước # chipu # sashimi,"['41', 'tr', 'lượt', 'xem', '11', 'tháng', 'trước', '#', 'chipu', '#', 'sashimi']"
4:09 THAT IS JUST WRONG,Neg,4  09 wrong,"['4', '09', 'wrong']"
4:12 I hate you,Neg,4  12 hate,"['4', '12', 'hate']"
"5:50 this is literally one hit wonder, the next one too.",Neu,5  50 literally one hit wonder  next one ,"['5', '50', 'literally', 'one', 'hit', 'wonder', 'next', 'one']"
6:53 YOU TAKE THAT BACK 🫵,Neg,6  53 take back 🫵,"['6', '53', 'take', 'back', '🫵']"
99% of this list sucks ass with only How You Remind Me and Rollin being good... Guess my tastes are socially acceptable after all,Neg,99 % of this list sucks ass remind me and rollin good  guess tastes socially acceptable,"['99', '%', 'of', 'this', 'list', 'sucks', 'ass', 'remind', 'me', 'and', 'rollin', 'good', 'guess', 'tastes', 'socially', 'acceptable']"
A bland mix of autotune and drab beats.,Neu,bland mix of autotune drab beats ,"['bland', 'mix', 'of', 'autotune', 'drab', 'beats']"
"A complete mess, ugh.",Neg,complete mess  ugh ,"['complete', 'mess', 'ugh']"
A complete snoozefest.,Neg,complete snoozefest ,"['complete', 'snoozefest']"
A complete waste of creativity.,Neg,complete waste of creativity ,"['complete', 'waste', 'of', 'creativity']"
A disaster from start to finish.,Neg,disaster start to finish ,"['disaster', 'start', 'to', 'finish']"
A few are garbage but most rock. really bad take.,Neg,garbage rock  really bad take ,"['garbage', 'rock', 'really', 'bad', 'take']"
A lot of this r bangers what r u on.,Neu,lot of this r bangers r u ,"['lot', 'of', 'this', 'r', 'bangers', 'r', 'u']"
Ả ma thật mv này mãi chưa bay màu,Neg,ả thật mv mãi chưa bay màu,"['ả', 'thật', 'mv', 'mãi', 'chưa', 'bay', 'màu']"
A major letdown from start to finish.,Neg,major letdown start to finish ,"['major', 'letdown', 'start', 'to', 'finish']"
A sloppy effort from a so-called artist.,Neg,sloppy effort socalled artist ,"['sloppy', 'effort', 'socalled', 'artist']"
A total buzzkill for my playlist.,Neg,total buzzkill playlist ,"['total', 'buzzkill', 'playlist']"
Absolute rubbish........,Neg,absolute rubbish ,"['absolute', 'rubbish']"
absolute trash,Neg,absolute trash,"['absolute', 'trash']"
Absolutely brainrot,Neg,absolutely brainrot,"['absolutely', 'brainrot']"
After I watched this it haunts me in my dreams,Neg,watched haunts dreams,"['watched', 'haunts', 'dreams']"
ai coi mv mà tắt tiếng thì like cmt này đi ạ,Neg,ai coi mv mà tắt tiếng like cmt đi ạ,"['ai', 'coi', 'mv', 'mà', 'tắt', 'tiếng', 'like', 'cmt', 'đi', 'ạ']"
ai ghét bài này thì like cmt này đi ạ,Neg,ai ghét bài like cmt đi ạ,"['ai', 'ghét', 'bài', 'like', 'cmt', 'đi', 'ạ']"
Ai mà nghe? rác!,Neg,ai mà nghe  rác ,"['ai', 'mà', 'nghe', 'rác']"
Ai mà thích bài này? T thấy nó ko xứng với lời khen!,Neg,ai mà thích bài  thấy nó ko xứng lời khen ,"['ai', 'mà', 'thích', 'bài', 'thấy', 'nó', 'ko', 'xứng', 'lời', 'khen']"
Ai nghe lại bài này vì ai đó dơ tay nào,Neg,ai nghe lại bài vì ai đó dơ tay nào,"['ai', 'nghe', 'lại', 'bài', 'vì', 'ai', 'đó', 'dơ', 'tay', 'nào']"
ai thích chứ t thấy gớm,Neg,ai thích chứ thấy gớm,"['ai', 'thích', 'chứ', 'thấy', 'gớm']"
"All hype, zero talent.",Neg,hype  zero talent ,"['hype', 'zero', 'talent']"
all i have to say is bruh,Neg,say bruh,"['say', 'bruh']"
All my favourite songs are in this list.,Neu,favourite songs list ,"['favourite', 'songs', 'list']"
All the songs are number one i love the playlist my favorite i sure enjoyed it,Neg,songs number one love playlist favorite sure enjoyed,"['songs', 'number', 'one', 'love', 'playlist', 'favorite', 'sure', 'enjoyed']"
almost as annoying as michael. almost.,Neg,almost annoying michael  almost ,"['almost', 'annoying', 'michael', 'almost']"
Also foxes make a disturbing high pitched streaming sound for a mating call,Neg,also foxes make disturbing high pitched streaming sound a mating call,"['also', 'foxes', 'make', 'disturbing', 'high', 'pitched', 'streaming', 'sound', 'a', 'mating', 'call']"
Ám ảnh bài này,Neg,ám ảnh bài,"['ám', 'ảnh', 'bài']"
ám ảnh nặng nề bài này:))))))))),Neg,ám ảnh nặng nề bài ,"['ám', 'ảnh', 'nặng', 'nề', 'bài']"
"Am I the only one tired of Don’t Stop Believin’? I don’t hate it exactly, but it sounds mediocre to me and I’ve heard at some point every year for a while now, so I’m seriously tired of it.",Neg,am i one tired of don’t stop believin ’  don’t hate exactly  sounds mediocre to me and i’ve heard point every year  i’m seriously tired of it ,"['am', 'i', 'one', 'tired', 'of', 'don’t', 'stop', 'believin', '’', 'don’t', 'hate', 'exactly', 'sounds', 'mediocre', 'to', 'me', 'and', 'i’ve', 'heard', 'point', 'every', 'year', 'i’m', 'seriously', 'tired', 'of', 'it']"
"Âm nhạc bị lỗi kỹ thuật rõ ràng, cần chỉnh sửa lại phần hậu kỳ.",Neg,âm nhạc bị lỗi kỹ thuật rõ ràng  cần chỉnh sửa lại phần hậu kỳ ,"['âm', 'nhạc', 'bị', 'lỗi', 'kỹ', 'thuật', 'rõ', 'ràng', 'cần', 'chỉnh', 'sửa', 'lại', 'phần', 'hậu', 'kỳ']"
Âm nhạc kiểu này lỗi thời lắm.,Neg,âm nhạc kiểu lỗi thời lắm ,"['âm', 'nhạc', 'kiểu', 'lỗi', 'thời', 'lắm']"
"Âm nhạc này đâu gọi là nghệ thuật, chỉ biết bậy ra thôi.",Neg,âm nhạc đâu gọi là nghệ thuật  chỉ biết bậy thôi ,"['âm', 'nhạc', 'đâu', 'gọi', 'là', 'nghệ', 'thuật', 'chỉ', 'biết', 'bậy', 'thôi']"
Âm nhạc này đúng là thất bại nặng nề.,Neg,âm nhạc đúng thất bại nặng nề ,"['âm', 'nhạc', 'đúng', 'thất', 'bại', 'nặng', 'nề']"
Am scared of the face,Neg,am scared of the face,"['am', 'scared', 'of', 'the', 'face']"
"Âm thanh có vẻ bị lỗi, nghe nhiều chỗ bị rít không tự nhiên.",Neg,âm thanh có vẻ bị lỗi  nghe nhiều chỗ bị rít không tự nhiên ,"['âm', 'thanh', 'có', 'vẻ', 'bị', 'lỗi', 'nghe', 'nhiều', 'chỗ', 'bị', 'rít', 'không', 'tự', 'nhiên']"
"Âm thanh dở chết luôn, cười ra nước mắt.",Neg,âm thanh dở chết luôn  cười ra nước mắt ,"['âm', 'thanh', 'dở', 'chết', 'luôn', 'cười', 'ra', 'nước', 'mắt']"
